src_ip,dst_ip,src_port,dst_port,total_packets,total_bytes,mean_packet_length,std_packet_length,flow_duration,mean_inter_arrival_time,std_inter_arrival_time,handshake_ratio,application_data_ratio,alert_ratio,label
::1,::1,8443,10861,9,2435,270.55555555555554,429.9646267391232,2.015717029571533,0.2519646286964416,0.4338981316646106,0.1111111111111111,0.0,0.0,0
::1,::1,11807,8443,10,2310,231.0,452.2983528601448,2.0154869556427,0.2239429950714111,0.4165253617763937,0.1,0.0,0.0,0
::1,::1,8443,11883,9,2435,270.55555555555554,429.9646267391232,2.029252052307129,0.2536565065383911,0.4368947572263879,0.1111111111111111,0.0,0.0,0
::1,::1,6139,8443,10,2310,231.0,452.2983528601448,2.0242409706115723,0.2249156634012858,0.4184278556801413,0.1,0.0,0.0,0
::1,::1,8443,10536,9,2435,270.55555555555554,429.9646267391232,2.011475086212158,0.2514343857765198,0.4329097347834059,0.1111111111111111,0.0,0.0,0
::1,::1,8443,6126,9,2435,270.55555555555554,429.9646267391232,2.027068853378296,0.253383606672287,0.436288087318752,0.1111111111111111,0.0,0.0,0
::1,::1,8522,8443,10,2311,231.1,452.2686038185715,2.036285161972046,0.2262539068857828,0.4210376737731249,0.1,0.0,0.0,0
::1,::1,8443,4286,9,2435,270.55555555555554,429.9646267391232,2.016129970550537,0.2520162463188171,0.4342109983147236,0.1111111111111111,0.0,0.0,0
::1,::1,6343,8443,10,2310,231.0,452.2983528601448,2.005182981491089,0.2227981090545654,0.4144453747114988,0.1,0.0,0.0,0
::1,::1,8443,10734,9,2435,270.55555555555554,429.9646267391232,2.038383960723877,0.2547979950904846,0.4389657346891466,0.1111111111111111,0.0,0.0,0
::1,::1,8443,6347,9,2435,270.55555555555554,429.9646267391232,2.0104379653930664,0.2513047456741333,0.4336106350599391,0.1111111111111111,0.0,0.0,0
::1,::1,8443,6260,9,2435,270.55555555555554,429.9646267391232,2.0391030311584477,0.2548878788948059,0.4388360332532947,0.1111111111111111,0.0,0.0,0
::1,::1,8443,10791,9,2435,270.55555555555554,429.9646267391232,2.0359740257263184,0.2544967532157898,0.4386026664955204,0.1111111111111111,0.0,0.0,0
::1,::1,10700,8443,10,2310,231.0,452.2983528601448,2.0396859645843506,0.2266317738427056,0.4216893152411372,0.1,0.0,0.0,0
::1,::1,8443,6217,9,2435,270.55555555555554,429.9646267391232,2.036715030670166,0.2545893788337707,0.4381490464987475,0.1111111111111111,0.0,0.0,0
::1,::1,8443,6373,9,2435,270.55555555555554,429.9646267391232,2.025552034378052,0.2531940042972564,0.4360982178060297,0.1111111111111111,0.0,0.0,0
::1,::1,9468,8443,10,2310,231.0,452.2983528601448,2.008776903152466,0.2231974336836073,0.4151243432037145,0.1,0.0,0.0,0
::1,::1,8443,6222,9,2435,270.55555555555554,429.9646267391232,2.0143380165100098,0.2517922520637512,0.4336951778271675,0.1111111111111111,0.0,0.0,0
::1,::1,6095,8443,10,2310,231.0,452.2983528601448,2.024855136871338,0.2249839040968153,0.4186688436936417,0.1,0.0,0.0,0
::1,::1,8443,11182,9,2435,270.55555555555554,429.9646267391232,2.0224499702453613,0.2528062462806701,0.4355441393399427,0.1111111111111111,0.0,0.0,0
::1,::1,8443,4381,9,2435,270.55555555555554,429.9646267391232,2.0229649543762207,0.2528706192970276,0.435417662498143,0.1111111111111111,0.0,0.0,0
::1,::1,4320,8443,10,2311,231.1,452.2686038185715,2.0260629653930664,0.2251181072658962,0.418902592421728,0.1,0.0,0.0,0
::1,::1,8443,13058,9,2435,270.55555555555554,429.9646267391232,2.011882066726685,0.2514852583408355,0.4332939570780227,0.1111111111111111,0.0,0.0,0
::1,::1,8443,10712,9,2435,270.55555555555554,429.9646267391232,2.018609046936035,0.2523261308670044,0.4347093234582969,0.1111111111111111,0.0,0.0,0
::1,::1,8443,6206,9,2435,270.55555555555554,429.9646267391232,2.024143934249878,0.2530179917812347,0.436198338508211,0.1111111111111111,0.0,0.0,0
::1,::1,8443,4393,9,2435,270.55555555555554,429.9646267391232,2.026776075363159,0.2533470094203949,0.4366188807979411,0.1111111111111111,0.0,0.0,0
::1,::1,4462,8443,10,2311,231.1,452.2686038185715,2.0159130096435547,0.2239903344048394,0.4168332032697385,0.1,0.0,0.0,0
::1,::1,8443,8804,9,2435,270.55555555555554,429.9646267391232,2.016589879989624,0.252073734998703,0.4342040877652621,0.1111111111111111,0.0,0.0,0
::1,::1,6391,8443,10,2310,231.0,452.2983528601448,2.0185508728027344,0.2242834303114149,0.4170572144754947,0.1,0.0,0.0,0
::1,::1,8443,9980,9,2435,270.55555555555554,429.9646267391232,2.023678064346313,0.2529597580432892,0.4356472624400747,0.1111111111111111,0.0,0.0,0
::1,::1,8443,4310,9,2435,270.55555555555554,429.9646267391232,2.028968095779419,0.2536210119724273,0.436734331598217,0.1111111111111111,0.0,0.0,0
::1,::1,8443,10590,9,2435,270.55555555555554,429.9646267391232,2.0260119438171387,0.2532514929771423,0.4355546024608958,0.1111111111111111,0.0,0.0,0
::1,::1,6221,8443,10,2310,231.0,452.2983528601448,2.017660856246948,0.2241845395829942,0.4167106425248745,0.1,0.0,0.0,0
::1,::1,8443,8680,9,2435,270.55555555555554,429.9646267391232,2.012048959732056,0.2515061199665069,0.4331872149094585,0.1111111111111111,0.0,0.0,0
::1,::1,6438,8443,10,2310,231.0,452.2983528601448,2.0256619453430176,0.2250735494825575,0.4189741742629165,0.1,0.0,0.0,0
::1,::1,8443,10511,9,2435,270.55555555555554,429.9646267391232,2.0127599239349365,0.251594990491867,0.4335469497131748,0.1111111111111111,0.0,0.0,0
::1,::1,9940,8443,10,2310,231.0,452.2983528601448,2.0267791748046875,0.2251976860894097,0.4191590928742358,0.1,0.0,0.0,0
::1,::1,8596,8443,10,2311,231.1,452.2686038185715,2.024866104125977,0.224985122680664,0.4186766024710276,0.1,0.0,0.0,0
::1,::1,11795,8443,10,2310,231.0,452.2983528601448,2.036206007003784,0.2262451118893093,0.4208244735824258,0.1,0.0,0.0,0
::1,::1,9977,8443,10,2310,231.0,452.2983528601448,2.032167911529541,0.2257964346143934,0.4200961434331691,0.1,0.0,0.0,0
::1,::1,10504,8443,10,2310,231.0,452.2983528601448,2.020149946212769,0.224461105134752,0.4172108438442313,0.1,0.0,0.0,0
::1,::1,8443,2130,9,2435,270.55555555555554,429.9646267391232,2.0218489170074463,0.2527311146259308,0.4351021696795395,0.1111111111111111,0.0,0.0,0
::1,::1,6036,8443,10,2310,231.0,452.2983528601448,2.027259111404419,0.2252510123782687,0.418983215128954,0.1,0.0,0.0,0
::1,::1,4296,8443,10,2311,231.1,452.2686038185715,2.0378072261810303,0.2264230251312255,0.4211430820017804,0.1,0.0,0.0,0
::1,::1,8443,6386,9,2435,270.55555555555554,429.9646267391232,2.012446880340576,0.251555860042572,0.4329521128926517,0.1111111111111111,0.0,0.0,0
::1,::1,8443,10745,9,2435,270.55555555555554,429.9646267391232,2.0198941230773926,0.2524867653846741,0.4348695265551194,0.1111111111111111,0.0,0.0,0
::1,::1,11769,8443,10,2310,231.0,452.2983528601448,2.032299041748047,0.2258110046386718,0.4203658392039051,0.1,0.0,0.0,0
::1,::1,8443,9985,9,2435,270.55555555555554,429.9646267391232,2.0127720832824707,0.2515965104103088,0.4334222825155412,0.1111111111111111,0.0,0.0,0
::1,::1,9454,8443,10,2310,231.0,452.2983528601448,2.0233020782470703,0.2248113420274522,0.4182510347798944,0.1,0.0,0.0,0
::1,::1,8443,6170,9,2435,270.55555555555554,429.9646267391232,2.0109920501708984,0.2513740062713623,0.432593470671397,0.1111111111111111,0.0,0.0,0
::1,::1,4473,8443,10,2311,231.1,452.2686038185715,2.021682024002075,0.2246313360002305,0.4177669062421166,0.1,0.0,0.0,0
::1,::1,8443,6244,9,2435,270.55555555555554,429.9646267391232,2.0140209197998047,0.2517526149749756,0.4336589737513378,0.1111111111111111,0.0,0.0,0
::1,::1,9875,8443,10,2310,231.0,452.2983528601448,2.011691093444824,0.2235212326049804,0.4157541074782626,0.1,0.0,0.0,0
::1,::1,2189,8443,10,2311,231.1,452.2686038185715,2.021980047225952,0.2246644496917724,0.4179030881043575,0.1,0.0,0.0,0
::1,::1,4262,8443,10,2310,231.0,452.2983528601448,2.024880170822144,0.2249866856469048,0.4186013184308532,0.1,0.0,0.0,0
::1,::1,8622,8443,10,2311,231.1,452.2686038185715,2.037039041519165,0.2263376712799072,0.4209932107904439,0.1,0.0,0.0,0
::1,::1,10859,8443,10,2310,231.0,452.2983528601448,2.0293140411376958,0.2254793379041883,0.4194117790664284,0.1,0.0,0.0,0
::1,::1,13026,8443,10,2310,231.0,452.2983528601448,2.0370571613311768,0.2263396845923529,0.4209940953345453,0.1,0.0,0.0,0
::1,::1,10600,8443,10,2309,230.9,452.32829891573226,2.029392004013061,0.2254880004458957,0.4198822812580916,0.1,0.0,0.0,0
::1,::1,6429,8443,10,2310,231.0,452.2983528601448,2.022924900054932,0.2247694333394368,0.4183135723724027,0.1,0.0,0.0,0
::1,::1,8443,9957,9,2435,270.55555555555554,429.9646267391232,2.021507978439331,0.2526884973049164,0.4354655567772977,0.1111111111111111,0.0,0.0,0
::1,::1,13035,8443,10,2310,231.0,452.2983528601448,2.012725830078125,0.2236362033420139,0.4159039029348113,0.1,0.0,0.0,0
::1,::1,8443,4371,9,2435,270.55555555555554,429.9646267391232,2.027415990829468,0.2534269988536834,0.4366058352135527,0.1111111111111111,0.0,0.0,0
::1,::1,8443,10512,9,2435,270.55555555555554,429.9646267391232,2.0111489295959477,0.2513936161994934,0.43312846578199,0.1111111111111111,0.0,0.0,0
::1,::1,6206,8443,10,2310,231.0,452.2983528601448,2.024278163909912,0.2249197959899902,0.418834151133802,0.1,0.0,0.0,0
::1,::1,8443,4284,9,2435,270.55555555555554,429.9646267391232,2.016449213027954,0.2520561516284942,0.4341608873265197,0.1111111111111111,0.0,0.0,0
